0x402000
4	0	
6	0	

0x7f15f0939000
29	0	

0x7f15f1a43000
29	0	

0x7f15f2b9d000
29	0	

0x7f15f3ec0000
8	0	

0x7f15f4111000
55	0	

0x7f15f4115000
9	0	
10	0	
27	0	
28	0	

0x7f15f4116000
55	0	

0x7f15f4117000
11	0	

0x7f15f44c1000
14	0	

0x7f15f44c6000
35	0	

0x7f15f44c7000
20	0	

0x7f15f46d4000
29	0	

0x7f15f46d5000
9	0	

0x7f15f46d6000
6	0	
7	0	

0x7f15f46d8000
12	0	

0x7f15f4748000
39	0	

0x7f15f475a000
8	0	
9	0	
11	0	
14	0	
16	0	
17	0	
19	0	
25	0	
30	0	
31	0	
33	0	
34	0	
37	0	
39	0	
40	0	
41	0	
44	0	
45	0	
46	0	
48	0	
51	0	
52	0	
53	0	
55	0	
57	0	
59	0	
60	0	
63	0	

0x7f15f475b000
3	0	
4	0	
5	0	
7	0	
10	0	
12	0	
13	0	
16	0	
18	0	
19	0	
22	0	
26	0	
27	0	
30	0	
34	0	
35	0	
37	0	
39	0	
41	0	
42	0	
43	0	
46	0	
47	0	
48	0	
53	0	
54	0	
55	0	
57	0	
62	0	
63	0	

0x7f15f475c000
0	0	
3	0	
4	0	
5	0	
6	0	
7	0	
9	0	
10	0	
11	0	
12	0	
15	0	
16	0	
17	0	
31	0	
34	0	
39	0	
40	0	
42	0	
43	0	
46	0	
48	0	
49	0	
51	0	
53	0	
55	0	
58	0	
59	0	
60	0	

0x7f15f475d000
1	0	
2	0	
3	0	
6	0	
8	0	
15	0	
17	0	
20	0	
26	0	
28	0	
29	0	
32	0	
33	0	

