0	-1	-1	-1
0	0	0
0x400000	1919	1919	0	9	6	17	8	4	22	5	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	1124	67	50	3	6	3	0	9	0	6	3	3	6	9	6	3	3	6	6	3	6	6	9	3	10	3	6	3	6	0	6	3	3	9	3	3	6	9	3	
0x400000	1919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0
0x401000	7222	7222	6	6	6	44	109	64	31	36	25	24	262	69	200	92	116	68	128	92	599	63	82	126	32	61	37	106	86	20	122	115	99	111	151	128	128	170	120	128	10	152	128	157	146	132	131	45	192	202	82	102	132	38	128	128	78	167	51	140	69	164	128	153	254	251	
0x401000	7222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0
0x402000	2141	2141	60	309	311	826	20	22	38	46	34	35	36	18	8	8	8	7	5	6	5	5	6	5	7	10	7	5	10	7	7	8	8	10	12	9	7	12	8	6	10	10	8	8	8	8	8	9	7	8	9	7	10	7	7	10	8	10	10	8	8	12	0	0	0	0	
0x402000	2141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	0
0x487000	2179692	2179692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1464740	82417	64024	0	0	360038	208128	55	7	0	0	12	2	20	31	121	21	6	16	8	14	16	16	
